id,name,price,img_url,color,category,description
1,Ground Turkey,5.49,http://dummyimage.com/111x100.png/dddddd/000000,Fuscia,Food - Meat,"Lean and versatile ground turkey, perfect for various dishes."
2,Cabbage Slaw Mix,2.29,http://dummyimage.com/137x100.png/dddddd/000000,Teal,Food - Vegetables,Fresh cabbage and carrot slaw mix for salads.
3,Ultraviolet Phone Sanitizer,39.99,http://dummyimage.com/149x100.png/dddddd/000000,Crimson,Health,UV sanitizer that kills germs on your smartphone.
4,Canned Coconut Milk,1.89,http://dummyimage.com/172x100.png/ff4444/ffffff,Teal,Food - Canned Goods,"Rich coconut milk, great for cooking and baking."
5,Honey Mustard Sauce,3.29,http://dummyimage.com/107x100.png/dddddd/000000,Khaki,Food - Condiments,Creamy honey mustard sauce for dipping or dressing.
6,Curried Lentil Salad,4.29,http://dummyimage.com/239x100.png/ff4444/ffffff,Khaki,Food - Salads,"A hearty salad with lentils, veggies, and curry dressing."
7,Herbal Tea Sampler Box,29.99,http://dummyimage.com/111x100.png/dddddd/000000,Violet,Food,Assorted collection of herbal teas for relaxation and wellness.
8,Pasta (Fusilli),1.79,http://dummyimage.com/125x100.png/dddddd/000000,Puce,Food - Pasta,Twisted pasta perfect for salads and pasta dishes.
9,Winter Insulated Jacket,89.99,http://dummyimage.com/100x100.png/ff4444/ffffff,Red,Clothing,Warm and stylish jacket for cold weather.
10,Roasted Sweet Corn,1.99,http://dummyimage.com/206x100.png/dddddd/000000,Turquoise,Food - Frozen,Sweet corn roasted to perfection for a delightful side.
11,Coffee Maker,89.99,http://dummyimage.com/235x100.png/ff4444/ffffff,Indigo,Kitchen,Single-serve coffee maker with a built-in grinder.
12,Portable Bluetooth Speaker,49.99,http://dummyimage.com/202x100.png/dddddd/000000,Yellow,Audio,Compact Bluetooth speaker with rich sound quality.
13,Sliced Provolone Cheese,3.99,http://dummyimage.com/129x100.png/cc0000/ffffff,Mauv,Food - Dairy,Mild cheese great for sandwiches.
14,Smart Wi-Fi Light Bulbs,19.99,http://dummyimage.com/110x100.png/cc0000/ffffff,Blue,Smart Home,Energy-efficient LED bulbs that can be controlled via smartphone.
15,Sliced Bell Peppers,3.99,http://dummyimage.com/178x100.png/5fa2dd/ffffff,Goldenrod,Food - Fresh Produce,Fresh sliced bell peppers for salads or stir-fries.
16,Luxury Bath Salts,19.99,http://dummyimage.com/108x100.png/cc0000/ffffff,Goldenrod,Beauty,Scented bath salts for relaxation and self-care.
17,Honey Roasted Peanuts,3.19,http://dummyimage.com/206x100.png/dddddd/000000,Indigo,Food - Snacks,"Crunchy peanuts coated in honey, perfect for snacking."
18,Smartphone Projector,29.99,http://dummyimage.com/139x100.png/dddddd/000000,Crimson,Electronics,DIY projector that magnifies your smartphone screen for movie nights.
19,Fitness Tracker with Heart Rate Monitor,59.99,http://dummyimage.com/134x100.png/5fa2dd/ffffff,Violet,Fitness,Wearable device to track fitness activities and heart rate.
20,Almond Butter,6.49,http://dummyimage.com/176x100.png/5fa2dd/ffffff,Puce,Food - Condiments,Creamy almond butter made from roasted almonds.
21,Pasta (Fusilli),1.79,http://dummyimage.com/164x100.png/ff4444/ffffff,Orange,Food - Pasta,Twisted pasta perfect for salads and pasta dishes.
22,Jennifer's Amazing Lip Balm Kit,22.99,http://dummyimage.com/107x100.png/dddddd/000000,Maroon,Beauty,DIY kit to make your own lip balms in various flavors.
23,Grapes (red),3.49,http://dummyimage.com/124x100.png/cc0000/ffffff,Violet,Food - Produce,"Fresh seedless red grapes, perfect for snacking."
24,LED Christmas Lights,29.99,http://dummyimage.com/248x100.png/ff4444/ffffff,Teal,Home,Eco-friendly LED lights for festive decorations.
25,Pomegranate Juice,4.49,http://dummyimage.com/143x100.png/5fa2dd/ffffff,Violet,Food - Beverages,"Fresh pomegranate juice, rich in antioxidants."
26,Sriracha Sauce,3.19,http://dummyimage.com/207x100.png/5fa2dd/ffffff,Indigo,Food - Condiments,Spicy chili sauce for an extra kick in your meals.
27,Pleated Midi Dress,79.99,http://dummyimage.com/123x100.png/5fa2dd/ffffff,Violet,Clothing - Dresses,"A stylish midi dress with stylish pleats, suitable for any occasion."
28,Berry Smoothie Mix,4.99,http://dummyimage.com/145x100.png/cc0000/ffffff,Blue,Food - Frozen Foods,Frozen mix for quick berry smoothies.
29,Portable Solar Phone Charger,29.99,http://dummyimage.com/147x100.png/dddddd/000000,Aquamarine,Electronics,Eco-friendly charger that uses solar energy for powering devices.
30,Hydration Backpack,39.99,http://dummyimage.com/182x100.png/ff4444/ffffff,Purple,Outdoor,Lightweight backpack with an insulated water reservoir for hydration on the go.
31,Reversible Comforter Set,89.99,http://dummyimage.com/186x100.png/ff4444/ffffff,Khaki,Home,Soft comforter set for a cozy bedroom look.
32,Chili Garlic Sauce,2.49,http://dummyimage.com/124x100.png/5fa2dd/ffffff,Red,Food - Condiments,"Spicy sauce made with chili peppers and garlic, great for stir-frying."
33,Electric Heat Pad,24.99,http://dummyimage.com/232x100.png/5fa2dd/ffffff,Purple,Health,Microwaveable heat pad for soothing muscle aches.
34,Waffle Maker,39.99,http://dummyimage.com/161x100.png/5fa2dd/ffffff,Crimson,Kitchen,Make delicious waffles with this user-friendly device.
35,Set of Silicone Cooking Utensils,29.99,http://dummyimage.com/156x100.png/cc0000/ffffff,Puce,Kitchen,Non-stick utensils for safe and easy cooking.
